State,Latitude,Longitude,Size
wi,44.5,-89.5,1232
wv,39,-80.5,448
vt,44,-72.699997,260
tx,31,-100,3447
sd,44.5,-100,183
ri,41.700001,-71.5,228
or,44,-120.5,1747
ny,43,-75,2980
nh,44,-71.5,486
ne,41.5,-100,381
ks,38.5,-98,613
ms,33,-90,375
il,40,-89,2499
de,39,-75.5,166
ct,41.599998,-72.699997,892
ar,34.799999,-92.199997,588
in,40.273502,-86.126976,1288
mo,38.573936,-92.60376,1458
fl,27.994402,-81.760254,3835
nv,39.876019,-117.224121,803
me,45.367584,-68.972168,558
mi,44.182205,-84.506836,1836
ga,33.247875,-83.441162,1255
hi,20.716179,-158.214676,262
ak,66.160507,-153.369141,319
tn,35.860119,-86.660156,1119
va,37.926868,-78.024902,1273
nj,39.833851,-74.871826,1255
ky,37.839333,-84.27002,855
nd,47.650589,-100.437012,129
mn,46.39241,-94.63623,1012
ok,36.084621,-96.921387,724
mt,46.96526,-109.533691,478
wa,47.751076,-120.740135,3966
ut,39.41922,-111.950684,622
co,39.113014,-105.358887,1413
oh,40.367474,-82.996216,2275
al,32.31823,-86.902298,642
ia,42.032974,-93.581543,678
nm,34.307144,-106.018066,720
sc,33.836082,-81.163727,1003
pa,41.203323,-77.194527,2366
az,34.048927,-111.093735,2414
md,39.045753,-76.641273,837
ma,42.407211,-71.382439,1256
ca,36.778259,-119.417931,8912
id,44.068203,-114.742043,521
wy,43.07597,-107.290283,175
nc,35.782169,-80.793457,1740
la,30.39183,-92.329102,558
dc,38.9072,77.0369,7
    ,,,
